Appointment_Date,Appointment_Time,Booking_Date,Booking_Time,Customer_Name,Customer_Email,Customer_Address,Customer_Contact,Customer_Timezone,Service,Booked_By,Service_Duration_mins,Amount,Staff_Name,Staff_Email,Resource,Customer_Remark,Intake_Form,Appointment_Status
14-Jan-23,10:00 AM,26-Nov-22,10:25 PM,PARENT NAME,EMAIL,EXTRA,"EXTRA
",NONE,In-Centre Session - 1 Hour(1) ,NONE,60,NONE,NONE,NONE,NONE,NONE,STUDENT,"NONE
"
14-Jan-23,10:00 AM,30-Nov-22,7:48 AM,PARENT NAME,EMAIL,EXTRA,"EXTRA
",NONE,In-Centre Session - 1 Hour(1) ,NONE,60,NONE,NONE,NONE,NONE,NONE,STUDENT,"NONE
"
14-Jan-23,10:00 AM,03-Jan-23,4:15 PM,PARENT NAME,EMAIL,EXTRA,"EXTRA
",NONE,In-Centre Session - 1 Hour(1) ,NONE,60,NONE,NONE,NONE,NONE,NONE,STUDENT,"NONE
"
14-Jan-23,10:15 AM,05-Dec-22,7:15 PM,PARENT NAME,EMAIL,EXTRA,"EXTRA
",NONE,In-Centre Session - 1 Hour(1) ,NONE,60,NONE,NONE,NONE,NONE,NONE,STUDENT,"NONE
"
14-Jan-23,10:30 AM,08-Dec-22,7:24 AM,PARENT NAME,EMAIL,EXTRA,"EXTRA
",NONE,In-Centre Session - 1 Hour(1) ,NONE,60,NONE,NONE,NONE,NONE,NONE,STUDENT,"NONE
"
14-Jan-23,10:30 AM,08-Jan-23,7:57 PM,PARENT NAME,EMAIL,EXTRA,"EXTRA
",NONE,In-Centre Session - 1 Hour(1) ,NONE,60,NONE,NONE,NONE,NONE,NONE,STUDENT,"NONE
"
14-Jan-23,10:30 AM,24-Nov-22,10:20 AM,PARENT NAME,EMAIL,EXTRA,"EXTRA
",NONE,@Home Online Session - 1 Hour(1) ,NONE,60,NONE,NONE,NONE,NONE,NONE,STUDENT,"NONE
"
14-Jan-23,11:00 AM,15-Nov-22,5:09 PM,PARENT NAME,EMAIL,EXTRA,"EXTRA
",NONE,In-Centre Session - 1 Hour(1) ,NONE,60,NONE,NONE,NONE,NONE,NONE,STUDENT,"NONE
"
14-Jan-23,11:00 AM,03-Jan-23,6:08 PM,PARENT NAME,EMAIL,EXTRA,"EXTRA
",NONE,In-Centre Session - 1 Hour(1) ,NONE,60,NONE,NONE,NONE,NONE,NONE,STUDENT,"NONE
"
14-Jan-23,11:15 AM,04-Jan-23,12:28 PM,PARENT NAME,EMAIL,EXTRA,"EXTRA
",NONE,In-Centre Session - 1 Hour(1) ,NONE,60,NONE,NONE,NONE,NONE,NONE,STUDENT,"NONE
"
14-Jan-23,11:30 AM,15-Dec-22,8:29 PM,PARENT NAME,EMAIL,EXTRA,"EXTRA
",NONE,@Home Online Session - 1 Hour(1) ,NONE,60,NONE,NONE,NONE,NONE,NONE,STUDENT,"NONE
"
14-Jan-23,11:30 AM,12-Dec-22,9:54 AM,PARENT NAME,EMAIL,EXTRA,"EXTRA
",NONE,In-Centre Session - 1 Hour(1) ,NONE,60,NONE,NONE,NONE,NONE,NONE,STUDENT,"NONE
"
14-Jan-23,11:30 AM,06-Dec-22,3:19 PM,PARENT NAME,EMAIL,EXTRA,"EXTRA
",NONE,In-Centre Session - 1 Hour(1) ,NONE,60,NONE,NONE,NONE,NONE,NONE,STUDENT,"NONE
"
14-Jan-23,12:00 PM,17-Dec-22,11:39 PM,PARENT NAME,EMAIL,EXTRA,"EXTRA
",NONE,@Home Online Session - 1 Hour(1) ,NONE,60,NONE,NONE,NONE,NONE,NONE,STUDENT,"NONE
"
14-Jan-23,12:00 PM,18-Dec-22,7:50 PM,PARENT NAME,EMAIL,EXTRA,"EXTRA
",NONE,In-Centre Session - 1 Hour(1) ,NONE,60,NONE,NONE,NONE,NONE,NONE,STUDENT,"NONE
"
14-Jan-23,12:00 PM,18-Dec-22,7:50 PM,PARENT NAME,EMAIL,EXTRA,"EXTRA
",NONE,In-Centre Session - 1 Hour(1) ,NONE,60,NONE,NONE,NONE,NONE,NONE,STUDENT,"NONE
"
14-Jan-23,12:00 PM,05-Jan-23,3:58 PM,PARENT NAME,EMAIL,EXTRA,"EXTRA
",NONE,In-Centre Session - 1 Hour(1) ,NONE,60,NONE,NONE,NONE,NONE,NONE,STUDENT,"NONE
"
14-Jan-23,12:00 PM,21-Nov-22,9:59 AM,PARENT NAME,EMAIL,EXTRA,"EXTRA
",NONE,In-Centre Session - 1 Hour(1) ,NONE,60,NONE,NONE,NONE,NONE,NONE,STUDENT,"NONE
"
14-Jan-23,12:15 PM,03-Jan-23,1:09 PM,PARENT NAME,EMAIL,EXTRA,"EXTRA
",NONE,In-Centre Session - 1 Hour(1) ,NONE,60,NONE,NONE,NONE,NONE,NONE,STUDENT,"NONE
"
14-Jan-23,12:15 PM,04-Jan-23,10:06 AM,PARENT NAME,EMAIL,EXTRA,"EXTRA
",NONE,In-Centre Session - 1 Hour(1) ,NONE,60,NONE,NONE,NONE,NONE,NONE,STUDENT,"NONE
"
14-Jan-23,12:15 PM,02-Jan-23,4:53 PM,PARENT NAME,EMAIL,EXTRA,"EXTRA
",NONE,In-Centre Session - 1 Hour(1) ,NONE,60,NONE,NONE,NONE,NONE,NONE,STUDENT,"NONE
"
14-Jan-23,12:15 PM,02-Jan-23,4:53 PM,PARENT NAME,EMAIL,EXTRA,"EXTRA
",NONE,In-Centre Session - 1 Hour(1) ,NONE,60,NONE,NONE,NONE,NONE,NONE,STUDENT,"NONE
"
14-Jan-23,12:30 PM,07-Dec-22,7:29 PM,PARENT NAME,EMAIL,EXTRA,"EXTRA
",NONE,In-Centre Session - 1 Hour(1) ,NONE,60,NONE,NONE,NONE,NONE,NONE,STUDENT,"NONE
"
14-Jan-23,1:00 PM,12-Dec-22,1:47 PM,PARENT NAME,EMAIL,EXTRA,"EXTRA
",NONE,In-Centre Session - 1 Hour(1) ,NONE,60,NONE,NONE,NONE,NONE,NONE,STUDENT,"NONE
"
14-Jan-23,1:00 PM,27-Dec-22,3:13 PM,PARENT NAME,EMAIL,EXTRA,"EXTRA
",NONE,In-Centre Session - 1 Hour(1) ,NONE,60,NONE,NONE,NONE,NONE,NONE,STUDENT,"NONE
"
14-Jan-23,1:00 PM,19-Nov-22,2:25 PM,PARENT NAME,EMAIL,EXTRA,"EXTRA
",NONE,In-Centre Session - 1 Hour(1) ,NONE,60,NONE,NONE,NONE,NONE,NONE,STUDENT,"NONE
"
14-Jan-23,1:00 PM,23-Nov-22,8:58 PM,PARENT NAME,EMAIL,EXTRA,"EXTRA
",NONE,In-Centre Session - 1 Hour(1) ,NONE,60,NONE,NONE,NONE,NONE,NONE,STUDENT,"NONE
"
14-Jan-23,1:00 PM,23-Nov-22,8:58 PM,PARENT NAME,EMAIL,EXTRA,"EXTRA
",NONE,In-Centre Session - 1 Hour(1) ,NONE,60,NONE,NONE,NONE,NONE,NONE,STUDENT,"NONE
"
